1,古城古早麵(內湖店),台北市,內湖區,02-2658-2887,台北市內湖區內湖路一段737巷51弄1之1號,小吃,121.579175,25.080315,https://lh3.googleusercontent.com/-YxQItGgL1Qc/WPwcVqZI1eI/AAAAAAAAIAg/u_r8Lc3Nw2QtlWoZN2oSw17a5pfECQhegCLIB/w408-h306-k-no/
2,布克湖義式坊,台北市,內湖區,02-2627-5581,台北市內湖區文德路22巷44弄10號,小吃,121.580634,25.076828,https://lh5.googleusercontent.com/-MOjrYZvSoLY/WJMoJ7KCZeI/AAAAAAAAEas/36jhaukPewED9VbXS7QUA_YaLhhhAINqQCLIB/w408-h232-k-no/
3,"象園咖啡Elephant garden 內湖店",台北市,內湖區,02-2792-6080,台北市內湖區內湖路二段192號,小吃,121.585688,25.080817,https://lh4.googleusercontent.com/-NS7zzW-F76Y/WRqF55PykjI/AAAAAAAAAA0/wHBYghTzGwUVsAXa4dKGZTfWs_9XvwSdQCLIB/w408-h246-k-no/
4,大陳記古早味麵店,台北市,內湖區,02-2799-3105,台北市內湖區內湖路一段737巷18號,小吃,121.578437,25.079630,https://lh3.googleusercontent.com/-NvfEw0gwVw4/WBKAwG0sUUI/AAAAAAABPxA/KqR7zDqdo4Ynt7niVU3GJsSexJL4mIHFQCLIB/w408-h544-k-no/
5,大湖餐館,台北市,內湖區,02-2627-0675,台北市內湖區內湖路二段103巷76號,小吃,121.580929,25.083266,https://lh4.googleusercontent.com/-fRc51ZzBDRU/WI7NF8B7L-I/AAAAAAAAUlY/oqOIcatEcm0izkcbGpfFT5WWfnoRoi-ggCLIB/w408-h306-k-no/
6,瞞著爹-丼飯,台北市,內湖區,02-7728-6588,台北市內湖區港墘路127巷3號,小吃,121.576404,25.077817,https://lh5.googleusercontent.com/-jyavPY7w1_E/WF9SRBf21tI/AAAAAAAACis/I8nMX1pj0YcROACvN9rxlQbxlWNZ7TVOwCLIB/w408-h229-k-no/
7,李雪辣嬌川味食府,台北市,內湖區,02-7720-6168,台北市內湖區瑞光路106號,小吃,121.580913,25.071793,https://lh5.googleusercontent.com/proxy/MOdu1laDWsnXtIYT4CifOx9jstO5GQEJ1vycVXRMYnrPza86zSTAX2HHHmCUTCUGRYRqy0QrmpO-7oPGdib6b5qLk9UYcf92HAsOtmVlCfMvpRNdzQ6XootGK-OGNe_KjUyK4dHggx0dsMcCdZ2nyq5aAA=w408-h272-k-no
8,CaLACaLA義大利廚房內湖店,台北市,內湖區,02-8752-3208,台北市內湖區陽光街240號,小吃,121.578448,25.073565,https://lh5.googleusercontent.com/-76G2la1umbE/U3lyKjjLMII/AAAAAAAAABY/PB2NyiqZXFUiFwrF_KnxSxQ52Kh2gigWwCJkC/w408-h408-k-no/
9,居和熹湯包,台北市,內湖區,02-2656-0868,台北市內湖區內湖路一段737巷71號,小吃,121.579309,25.081396,https://lh6.googleusercontent.com/-god0DY1uP98/V85qhf7y3bI/AAAAAAAET0g/CbPIUhnMYuUd0Jx5L3bSbiYyuIklEtgHACLIB/w408-h306-k-no/
10,日式拉麵九湯屋士林店,台北市,士林區,02-2883-7217,台北市士林區大西路24號,小吃,121.524311,25.090149,https://lh3.googleusercontent.com/-ep-8YBU0Ne0/VsHTBEE3MyI/AAAAAAAAAFM/GUbS228nWno3VqhNPSP7VFJBFHoroPgTgCJkC/w408-h408-k-no/
11,滿佳香漢堡店,台北市,士林區,02-2882-5820,台北市士林區台北市士林區大北路56號,小吃,121.525587,25.090035,https://lh3.googleusercontent.com/-7CJbIMoYXKI/V66GrczSp2I/AAAAAAAAQ6k/MVb8bUzTa7gtB8l8-nAIOGuDcKGe0ErAgCJkC/w408-h306-k-no/
12,好朋友涼麵,台北市,士林區,02-2881-1197,台北市士林區大南路31號,小吃,121.525637,"25.089132,",https://lh6.googleusercontent.com/-XCTlGlGH2wA/VlJxy5qyURI/AAAAAAAAGLw/_6s4QZyi_PUabzNRfac4pVoJzkq1WETWACJkC/w408-h272-k-no/
13,我家牛排,台北市,士林區,02-2880-5275,台北市士林區大東路124號,小吃,121.525548,25.091618,https://lh3.googleusercontent.com/-_NxFYPciCqw/WNewYQg6KbI/AAAAAAAACN4/UvHipQAgmKouCJ7GtKwco2fVzFC1_htngCLIB/w408-h229-k-no/
14,圓通素食館,台北市,士林區,02-2881-4969,台北市士林區大東路158號,小吃,121.525339,25.092420,https://lh5.googleusercontent.com/-xhJONRStr1Y/WRmGwj67_lI/AAAAAAAASSE/UWErcc1Z3N4U-8KnONNwTRavJvTinKi2gCLIB/w408-h229-k-no/
15,江浙天成樓,台北市,中正區,02-2312-0000,台北市中正區忠孝西路一段43號,小吃,121.518159,25.046272,https://lh5.googleusercontent.com/-tRwb6eyhx9A/WM72U2YiWeI/AAAAAAAApLI/7V5yZ6UNlpUy91N9iOJP3Bp5PAP3oB96QCLIB/w408-h229-k-no/
16,阿泉麵線,台北市,中正區,02-2389-7687,台北市中正區許昌街26-1號,小吃,121.516305,25.045478,https://lh5.googleusercontent.com/-Nap9Lfej0Hs/WLNJrzibgxI/AAAAAAAAXe4/kVptbjS5t0gpKNdiWtWje1qCmtkZ83ElACLIB/w408-h306-k-no/
17,老董牛肉麵(誠品地下街),台北市,中正區,02-6632-8168,台北市中正區忠孝西路一段57號,,121.516549,25.046756,https://lh5.googleusercontent.com/-lNjrY_KqzFA/WSaI7KVd_8I/AAAAAAAABpc/ir7jvNg82R8C1-BRJlmrKuGEUotLKpWwwCLIB/w408-h306-k-no/
18,太陽蕃茄拉麵(站前本店),台北市,中正區,02-2361-7188,台北市中正區忠孝西路一段38號B1樓,,121.516354,25.046346,https://lh3.googleusercontent.com/-saUbVoYXuB8/WC2RUQnA07I/AAAAAAAAHpM/KiBACs1m8YQunxEuZqYChoRs_AZ8WDd9ACLIB/w408-h306-k-no/
19,豪季水餃專賣店,台北市,中正區,02-2389-0100,台北市中正區忠孝西路一段29巷1號,,121.518940,25.046315,https://lh6.googleusercontent.com/-xL1eHOyLsO4/WHiwX6vshXI/AAAAAAAAGAY/8mEmYVq3YQAS02q20w3Dl46Zb2EQ22ilACLIB/w408-h229-k-no/
20,淡水紅樓中餐廳,新北市,淡水區,02-8631-1168,新北市淡水區三民街2巷6號,,121.439407,25.171408,https://lh5.googleusercontent.com/-D505_haTon0/WEuSh-up6EI/AAAAAAAAUZk/BjwWDgKS7Y4ioqGjJ11oDPuBCI8cRWyMQCLIB/w408-h229-k-no/
21,彈彈屋火鍋工坊,新北市,淡水區,02-2626-0088,新北市淡水區馬偕街2號,,121.438673,25.171597,https://lh4.googleusercontent.com/-ORWNcRPdpu0/WUEnS0Ga03I/AAAAAAAAF9s/l6_5ArhQsF41JLh_t4bU0NJwotcx4tQ8ACLIBGAYYCw/w408-h306-k-no/
22,英國奶奶,新北市,淡水區,02-2626-7570,新北市淡水區中正路272號,,121.438248,25.171621,https://lh4.googleusercontent.com/-KtMP5tvJntc/WJwfG8JgsJI/AAAAAAADCks/wreNKd51ih8t9HVUxye42bHyyGr7td3_ACLIB/w408-h229-k-no/
23,士林夜市,台北市,士林區,,台北市士林區基河路101號,夜市,121.524065,25.087866,https://lh6.googleusercontent.com/proxy/dVg3B1aK3PF4j0Y1qYUlwwskS44Z7JHcsjXMY6RznuPqn8qbMzbF6yoJ7WsElXI8DyT-BAnTgDn3gFe2C2SDaaqMr5kS28j80bc8VPNMV3U2S-2SIGK-0Tr3OtHVPQTXtAQ7ZrVHfwVQnjMRR9iLZdwwOW6WKLw=w408-h305-k-no
24,饒河街觀光夜市,台北市,松山區,,台北市松山區饒河街,夜市,121.577557,25.050907,https://lh5.googleusercontent.com/proxy/sFItqJ0PHHlGOw9UA4qZaC18V-UyX0b22bVA_o79oi9muHUJoepjo2UVPP9yo3sAEVhxv02xI8cJtxvj6aD9Kjirjg4BS6ZQxlPbUUPNz6Q1j2UNI2A3ZozfptJWq6y03-mpdwoWVZr-uNqllVI8lkzWzOj7DIY=w408-h305-k-no
25,軒閣串燒本舖,台北市,松山區,02-2578-6969,台北市松山區南京東路四段52巷2號,,121.553579,25.051082,https://lh5.googleusercontent.com/-3zbNOaM2eYI/WOo9Bk_ilnI/AAAAAAAAABA/WBHkjUmiu6sq484Fc-NZqXKUqsQdQOEgACLIB/w408-h288-k-no/
